,m2_10_0.5k.tif,m2_1_0.5k.tif,m2_2_0.5k.tif,m2_3_0.5k.tif,m2_4_0.5k.tif,m2_5_0.5k.tif,m2_6_0.5k.tif,m2_7_0.5k.tif,m2_7_1.7k.tif,m2_8_0.5k.tif,m2_9_0.5k.tif
m2_10_0.5k.tif,1.0,1.4308533624752295e-37,5.948821539491978e-11,1.0,0.6042262179166169,1.0,8.912766827247982e-76,0.00041817681282329286,2.4335020034174187e-09,2.3757146999916822e-32,1.0
m2_1_0.5k.tif,1.4308533624752295e-37,1.0,3.764788209292395e-05,5.862288792942739e-44,9.353889785223626e-22,1.4367430951499618e-39,3.20780077575545e-222,4.597357572175376e-73,7.09537419629414e-11,1.0,6.475688252113822e-42
m2_2_0.5k.tif,5.948821539491978e-11,3.764788209292395e-05,1.0,1.3839407531257582e-15,0.0003889516788238082,1.5405250477733011e-12,2.6986323844559387e-125,7.865040276104986e-29,1.0,2.1041369488531914e-06,1.8630306647092075e-12
m2_3_0.5k.tif,1.0,5.862288792942739e-44,1.3839407531257582e-15,1.0,0.001549649036658596,1.0,1.0817841801067186e-50,1.0,3.3448466565736695e-14,4.1585658127589337e-38,1.0
m2_4_0.5k.tif,0.6042262179166169,9.353889785223626e-22,0.0003889516788238082,0.001549649036658596,1.0,0.08441368774030483,2.1064840046438334e-88,2.820610098070333e-10,0.017122188843538628,1.867409033436169e-20,0.21752769112424822
m2_5_0.5k.tif,1.0,1.4367430951499618e-39,1.5405250477733011e-12,1.0,0.08441368774030483,1.0,2.5737904851390536e-64,0.022364737817881262,5.437491220765433e-11,2.892593993660995e-34,1.0
m2_6_0.5k.tif,8.912766827247982e-76,3.20780077575545e-222,2.6986323844559387e-125,1.0817841801067186e-50,2.1064840046438334e-88,2.5737904851390536e-64,1.0,3.3253011073611816e-52,3.838029081249795e-152,2.2352198296895486e-158,3.649786525409821e-81
m2_7_0.5k.tif,0.00041817681282329286,4.597357572175376e-73,7.865040276104986e-29,1.0,2.820610098070333e-10,0.022364737817881262,3.3253011073611816e-52,1.0,5.0863474949449256e-30,6.023182233062505e-57,0.0005758806619354784
m2_7_1.7k.tif,2.4335020034174187e-09,7.09537419629414e-11,1.0,3.3448466565736695e-14,0.017122188843538628,5.437491220765433e-11,3.838029081249795e-152,5.0863474949449256e-30,1.0,3.327438337423498e-11,5.1013438621308704e-11
m2_8_0.5k.tif,2.3757146999916822e-32,1.0,2.1041369488531914e-06,4.1585658127589337e-38,1.867409033436169e-20,2.892593993660995e-34,2.2352198296895486e-158,6.023182233062505e-57,3.327438337423498e-11,1.0,4.34928179922774e-35
m2_9_0.5k.tif,1.0,6.475688252113822e-42,1.8630306647092075e-12,1.0,0.21752769112424822,1.0,3.649786525409821e-81,0.0005758806619354784,5.1013438621308704e-11,4.34928179922774e-35,1.0
